CUSTOMER_ID,DATE,QUANTITY,AMOUNT
1645909314230-8461749765541880961,2022-02-26,1,5.99
1645969579346-7599305456930206633,2022-02-27,1,5.99
1645972345708-3890014622471263402,2022-02-27,1,5.99
1646006557612-3276602855416430117,2022-02-28,1,5.99
1646021406853-5878059246328924091,2022-02-28,1,5.99
1646205171149-3403341314634716949,2022-03-02,1,5.99
1646321276196-7884591268898302522,2022-03-03,1,5.99
1646341219270-5135882293720182179,2022-03-03,1,5.99
1646355882689-7092634549046392683,2022-03-04,1,5.99
1646366855236-8178817019913501956,2022-03-04,1,5.99
1646414271116-7022979761240671169,2022-03-04,1,5.99
1646447760038-4933303787313284488,2022-03-05,1,5.99
1646447812400-7117474400397218941,2022-03-07,1,5.99
1646505153258-8287573092499891023,2022-03-05,1,5.99
1646509465382-5928117213512745303,2022-03-05,1,5.99
1646526630138-2058977765420308118,2022-03-06,1,5.99
1646533877146-869512487716531419,2022-03-07,1,5.99
1646546558299-5227654620349257709,2022-03-07,1,5.99
1646612364340-1811377948978370609,2022-03-10,1,5.99
1646623611110-4025800907179505343,2022-03-07,1,5.99
1646626284747-5458996705812455895,2022-03-07,1,5.99
1646651058030-7015482163379782218,2022-03-07,1,5.99
1646723915857-6341106767290549837,2022-03-08,1,5.99
1646740125582-4380249159541912240,2022-03-08,1,5.99
1646743267062-4517756347887859015,2022-03-08,1,5.99
1646782422690-2386885666256682294,2022-03-09,1,5.99
1646798245141-9219005710754449143,2022-03-09,1,5.99
1646805385450-1143596282136157145,2022-03-09,1,5.99
1646832249006-5400616787478234996,2022-03-10,1,5.99
1646860279918-865989072039128519,2022-03-10,1,5.99
1646867638742-1434660565939537525,2022-04-04,1,5.99
1646874731593-7878677940183862279,2022-03-10,1,5.99
1646902377914-6862530243864865140,2022-03-14,1,5.99
1646936889710-3696786373293736962,2022-03-13,1,5.99
1646945873696-2406723333170185751,2022-03-11,1,5.99
1646967482131-2270230736511033187,2022-03-11,1,5.99
1646983673586-1852436691657716399,2022-03-14,1,5.99
1647038924854-7064040343072514342,2022-03-13,1,5.99
1647138920274-2519769503783561072,2022-03-14,1,5.99
1647151148644-1632993070454903565,2022-03-14,1,5.99
1647161545636-8285973497006301747,2022-03-13,1,5.99
1647211398017-1065220508208004518,2022-03-13,1,5.99
1647270752702-8475016063833292944,2022-03-14,1,5.99
1647273477271-6314471945990462502,2022-03-14,1,5.99
1647279477700-2445812116260583364,2022-03-14,1,5.99
1647280011870-3601979823485076114,2022-03-14,1,5.99
1647280404541-4846741420514151038,2022-03-14,1,5.99
1647281451271-266356639509707499,2022-03-14,1,5.99
1647281579889-7790112568365123245,2022-04-16,1,5.99
1647281786573-4931849277217401184,2022-03-14,1,5.99
1647309002996-8712565278368626515,2022-03-15,1,5.99
1647309826738-8590191994649583252,2022-03-15,1,5.99
1647335430404-220873915041884902,2022-03-15,1,5.99
1647337612197-2065265148228482811,2022-03-15,1,5.99
1647402148490-1650758328685618749,2022-03-16,1,5.99
1647409712912-4296088661626287604,2022-03-16,1,5.99
1647422165936-2910101473361972287,2022-03-16,1,5.99
1647448018906-3838349376719884553,2022-03-17,1,5.99
1647452214295-6226399602102932729,2022-03-16,1,5.99
1647473872790-1306817305818204135,2022-03-16,1,5.99
1647480489643-8009040111845212580,2022-03-17,1,5.99
1647486063295-9217078352884350789,2022-03-17,1,5.99
1647488017724-6490022298165863908,2022-03-17,1,5.99
1647494922648-6580081769471455928,2022-03-17,1,5.99
1647576011935-464068115448752601,2022-03-19,1,5.99
1647580766174-5545599544585170032,2022-03-18,1,5.99
1647606126413-2471935695402733932,2022-03-18,1,5.99
1647621091912-5869688420600336229,2022-03-18,1,5.99
1647651667264-1397854758362033706,2022-04-14,1,5.99
1647718208452-1750331045965177384,2022-03-21,1,5.99
1647741827168-4848063390098956728,2022-03-20,1,5.99
1647743709117-3165318930181993909,2022-03-20,1,5.99
1647765756816-1734808308113652505,2022-03-24,1,5.99
1647862107957-3287045135061930178,2022-04-01,1,5.99
1647917729635-8959028454313240695,2022-03-22,1,5.99
1647926326013-4167050653515635110,2022-03-22,1,5.99
1647928827115-7009156613907283611,2022-03-22,1,5.99
1647956092840-402252354869509171,2022-03-22,1,5.99
1647990543779-1616365345227935130,2022-03-22,1,5.99
1648010511625-8566701869786986926,2022-03-23,1,5.99
1648055613860-534974977702450354,2022-03-23,1,5.99
1648078637377-683135292233704901,2022-03-26,1,5.99
1648085104167-4992191514485305489,2022-03-24,1,5.99
1648088383996-803159865575852842,2022-03-24,1,5.99
1648090921770-5587015679396894507,2022-03-24,1,5.99
1648148559574-4004368976782547670,2022-04-01,1,5.99
1648212174917-6948968858277158106,2022-03-27,1,5.99
1648229296640-4055850619367928920,2022-03-25,1,5.99
1648237411961-340892683868812779,2022-03-25,1,5.99
1648251899033-2262091646795490894,2022-03-26,1,5.99
1648278528612-5722631893893929114,2022-03-26,1,5.99
